,Unnamed: 0,id,pdfs
0,0,ZYDUSLIFE,"[['https://www.bseindia.com/xml-data/corpfiling/AttachHis/09ef84d9-f00a-4a59-a65c-dfc08c6a8f2c.pdf', 2024, 2], ['https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=b4e2412e-5014-4fad-a445-9f1dbb9b6a68.pdf', 2024, 1], ['https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=8d51e91a-d8c2-4c4c-8cba-793347efe82a.pdf', 2023, 4], ['https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=c981c621-5263-4aa4-b5d7-7582cd88d42a.pdf', 2023, 3], ['https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=0533cc54-e6fb-49e6-987e-274d99427117.pdf', 2023, 2], ['https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=a151171a-fd75-41a3-9658-52e0ee7004e7.pdf', 2022, 1], ['https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=a893fa39-e70c-45d7-ba8e-635912729413.pdf', 2022, 4], ['https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=cf2c1a8d-f37d-4548-aeec-208a1cfd8b69.pdf', 2022, 3], ['https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=227e52c4-b7fb-4ea8-9dc0-03896160ad4d.pdf', 2022, 2], ['https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=da0b0954-1e8a-476c-97d5-9d01ce2fac30.pdf', 2022, 1]]"
1,1,ZOMATO,"[['https://www.bseindia.com/xml-data/corpfiling/AttachHis/ab4d167b-7e75-4bf8-a51d-71a903cd7870.pdf', 2024, 2], ['https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=7da5b3a3-3d33-4ce2-82a2-e73a3e0bf30c.pdf', 2024, 1], ['https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=ad64f987-2b66-4f48-b34a-27830808808c.pdf', 2023, 4], ['https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=fe1ebfa8-add9-4261-ac59-9c43fc04f781.pdf', 2023, 3], ['https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=e836f935-4e9f-407d-8310-30b3adee3446.pdf', 2023, 2], ['https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=15cb6fe9-5581-43c2-88b1-1e03e1c6f3da.pdf', 2023, 1]]"
2,2,WIPRO,"[['https://www.bseindia.com/xml-data/corpfiling/AttachHis/46c6a646-a20e-4dcd-b4ab-05c524bb7404.pdf', 2024, 3], ['https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=1d67449a-6242-45f2-84a5-70475a295099.pdf', 2024, 2], ['https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=65e63fd1-a45a-4675-95f9-5e654d9806a2.pdf', 2024, 1], ['https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=7bc5af06-3488-4992-8e45-f32de629e14c.pdf', 2023, 4], ['https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=684229a6-febc-4042-a5e8-ecf3682c031b.pdf', 2023, 3], ['https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=ea5f274e-405d-4f56-bc1e-7391525a7675.pdf', 2023, 2], ['https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=381f5bbe-a815-4111-a34c-a06dd296fd0e.pdf', 2023, 1], ['https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=d64977fb-201e-44b4-a1f7-a1797befa57d.pdf', 2022, 4], ['https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=79e44af5-cb0f-4130-81a2-8d00bc37159d.pdf', 2022, 3], ['https://www.wipro.com/content/dam/nexus/en/investor/quarterly-results/2021-2022/q1fy22/wipro-limited-q1-fy22-quarterly-investor-conference-call-transcript.pdf', 2022, 1], ['https://www.wipro.com/content/dam/nexus/en/investor/quarterly-results/2020-2021/q4fy21/wipro-limited-q4-fy21-quarterly-investor-conference-call-transcript.pdf', 2021, 4], ['https://www.wipro.com/content/dam/nexus/en/investor/quarterly-results/2020-2021/q1fy20/wipro-limted-q1-fy21-earnings-call.pdf', 2021, 1], ['https://www.wipro.com/content/dam/nexus/en/investor/quarterly-results/2019-2020/q4fy20/wipro-earning-call-transcript-q4-fy20.pdf', 2020, 4], ['https://www.wipro.com/content/dam/nexus/en/investor/quarterly-results/2018-2019/q4fy19/transcripts-conference-call-q4-fy19.pdf', 2019, 4], ['https://www.wipro.com/content/dam/nexus/en/investor/quarterly-results/2017-2018/q3fy18/transcripts-conference-call.pdf', 2018, 3], ['https://www.wipro.com/content/dam/nexus/en/investor/quarterly-results/2017-2018/Q2/wipro-earnings-call-transcript-oct17-2017.pdf', 2018, 2]]"
3,3,VEDL,"[['https://www.vedantalimited.com/uploads/investor-overview/financial-results/Transcript_VEDL_Earnings_Call_2QFY24.pdf', 2024, 2], ['https://www.vedantalimited.com/uploads/investor-overview/financial-results/VEDL_Call_Transcript_1QFY24.pdf', 2023, 1]]"
4,4,VBL,[]
5,5,UPL,[]
6,6,ULTRACEMCO,"[['https://www.bseindia.com/xml-data/corpfiling/AttachHis/9ed37865-67c8-40ff-b6be-2cc9876144b4.pdf', 2024, 3], ['https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=86accf40-1599-4ba0-b862-200552ba7aa9.pdf', 2024, 2], ['https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=7007d1c8-6e4e-482f-9b5f-9d5546ff5047.pdf', 2024, 1], ['https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=24a7004b-87d7-4015-8316-5dbe54bd8cc2.pdf', 2023, 4], ['https://www.ultratechcement.com/content/dam/ultratechcementwebsite/pdf/financials/earnings-call/ultratech-cement-earnings-call-transcript-jan23-2023.pdf', 2023, 3], ['https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=1e42fe9a-9cf9-4681-b2e6-03ab0150084a.pdf', 2022, 4], ['https://www.ultratechcement.com/content/dam/ultratechcementwebsite/pdf/financials/earnings-call/EarningscallTranscriptQ1FY22.pdf', 2023, 1], ['https://www.ultratechcement.com/content/dam/ultratechcementwebsite/pdf/financials/earnings-call/UltraTech%20Earnings%20Call%20Transcript%2023%20Jan%202021.pdf', 2021, 3]]"
7,7,TVSMOTOR,"[['https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=35ef6a84-aec3-42fc-9d7c-f0c8312a9f44.pdf', 2024, 2], ['https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=73743c13-6942-4f5b-ab3c-d684aa6974b2.pdf', 2024, 1], ['https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=808ff244-4409-4068-ba7d-f1d33e2ce709.pdf', 2023, 3]]"
8,8,TRENT,[]
9,9,TORNTPHARM,"[['https://torrentpharma.com/pdf/investors/Q1-FY23-24_Earnings-Call-Transcript.pdf', 2024, 1], ['https://www.torrentpharma.com/pdf/investors/Earnings_Call_Transcript_May_30_2023.pdf', 2023, 4], ['https://torrentpharma.com/pdf/investors/Q4_FY21_Earnings_call_Transcript.pdf', 2021, 4], ['https://torrentpharma.com/pdf/investors/Q3_FY21_Earnings_call_Transcript.pdf', 2021, 3], ['https://torrentpharma.com/pdf/investors/Q2_FY21_Earnings_call_Transcript.pdf', 2021, 2], ['https://torrentpharma.com/pdf/investors/Q1_FY20_Earnings_Call_Transcript.pdf', 2021, 1], ['https://torrentpharma.com/pdf/investors/Q4_FY20_Earnings_Call_Transcript.pdf', 2020, 4], ['https://torrentpharma.com/pdf/investors/Q2_FY_20_Earnings_Conference_Call.pdf', 2020, 2], ['https://torrentpharma.com/pdf/investors/Q1_FY20_Earnings_call_transcript.pdf', 2019, 1], ['https://torrentpharma.com/pdf/investors/Q4_FY19_Earnings_call_transcript.pdf', 2019, 4], ['https://torrentpharma.com/pdf/investors/Q3FY19_Earnings_Call_Transcript.pdf', 2019, 3], ['https://torrentpharma.com/pdf/investors/Earnings_call_transcript_Q2_FY19.pdf', 2019, 2], ['https://torrentpharma.com/pdf/investors/Transcript_Q1_FY19.pdf', 2019, 1], ['https://torrentpharma.com/pdf/investors/Q4_FY%2018_Con_call_Transcript.pdf', 2018, 4], ['https://torrentpharma.com/pdf/investors/14-11-2017_pg9re_Q2_FY18_Con_call_Transcript.pdf', 2018, 2], ['https://torrentpharma.com/pdf/investors/06-09-2017_29xjo_Q4_FY17_Con_call_Transcript.pdf', 2017, 4], ['https://torrentpharma.com/pdf/investors/06-09-2017_8ewof_Q3_FY17_Con_call_Transcript.pdf', 2017, 3], ['https://torrentpharma.com/pdf/investors/06-09-2017_af2yh_Q2_FY17_Con_call_Transcript.pdf', 2017, 2], ['https://torrentpharma.com/pdf/investors/05-09-2017_qfqsi_Transcript_Q4_FY16.pdf', 2016, 4]]"
